visitorid,recency,frequency,recency_score,frequency_score,RF_SCORE,segment,itemid,day_of_week,hour_of_day,purchased,total_events,total_purchases,last_purchase_timestamp,interaction_density,popularity_percentile,time_since_last_purchase
680956,113,0,1,2,12,hibernating,269582,4,5,0,6,0,2015-05-29 05:26:17.821,0.0,0.47442366024138416,3152
742942,6,1,3,4,34,loyal_customers,32402,0,19,0,32,1,2015-09-13 13:38:40.709,0.03125,0.9652537001033774,3045
917036,1,304,5,5,55,champions,265571,1,3,0,205,0,2015-09-17 18:34:30.837,0.0,0.47442366024138416,3040
1128216,2,5,5,5,55,champions,31640,3,4,0,158,5,2015-09-15 18:12:58.960,0.03164556962025317,0.9976814528994601,3042
1166736,5,11,3,5,35,loyal_customers,115258,6,15,0,217,5,2015-09-14 03:46:42.343,0.02304147465437788,0.9976814528994601,3044
1371335,2,1,5,4,54,champions,287090,3,22,0,76,1,2015-09-17 04:55:36.551,0.013157894736842105,0.9652537001033774,3041
748040,1,1286,5,5,55,champions,174719,4,18,0,176,1,2015-09-14 23:12:40.275,0.005681818181818182,0.9652537001033774,3043
981709,2,59,5,5,55,champions,70297,4,16,0,6,0,2015-08-01 23:00:26.366,0.0,0.47442366024138416,3087
434900,2,176,5,5,55,champions,306034,0,22,0,169,2,2015-09-16 03:33:36.986,0.011834319526627219,0.9864971220236449,3042
11333,2,59,5,5,55,champions,399195,1,22,0,9,0,2015-06-30 22:51:55.964,0.0,0.47442366024138416,3119
396745,2,45,5,5,55,champions,343828,5,4,0,58,1,2015-08-29 04:28:37.192,0.017241379310344827,0.9652537001033774,3060
1061527,9,0,2,3,23,at_Risk,84026,4,19,0,47,0,2015-09-10 14:31:51.623,0.0,0.47442366024138416,3047
1231912,8,1,3,4,34,loyal_customers,288359,6,19,0,51,1,2015-09-11 18:28:38.664,0.0196078431372549,0.9652537001033774,3046
812948,2,10,5,5,55,champions,440066,2,1,0,160,2,2015-09-15 07:32:25.843,0.0125,0.9864971220236449,3043
469611,2,0,5,2,52,potential_loyalists,20105,0,3,0,6,0,2015-09-17 13:33:38.975,0.0,0.47442366024138416,3041
770721,11,0,2,2,22,hibernating,409757,6,5,0,6,0,2015-09-08 23:36:35.948,0.0,0.47442366024138416,3049
129377,6,0,3,1,31,about_to_sleep,466776,3,15,0,22,0,2015-09-13 16:43:24.645,0.0,0.47442366024138416,3044
1108582,5,0,3,3,33,need_attention,108771,6,22,0,14,0,2015-09-14 06:39:29.764,0.0,0.47442366024138416,3044
714072,3,0,4,2,42,potential_loyalists,425910,3,2,0,26,0,2015-09-01 23:04:13.013,0.0,0.47442366024138416,3056
1150086,1,28930,5,5,55,champions,322190,4,21,0,145,2,2015-09-12 17:36:21.894,0.013793103448275862,0.9864971220236449,3045
