visitorid,recency,frequency,recency_score,frequency_score,RF_SCORE,segment,itemid,day_of_week,hour_of_day,purchased,total_events,total_purchases,last_purchase_timestamp,interaction_density,popularity_percentile,time_since_last_purchase
704326,7,0,3,2,32,about_to_sleep,347812,6,13,0,294,0,2015-09-12 00:16:24.503,0.0,0.47442366024138416,3045
243019,5,0,3,1,31,about_to_sleep,303055,1,11,0,56,0,2015-09-14 20:32:40.577,0.0,0.47442366024138416,3042
500603,5,0,3,2,32,about_to_sleep,73137,4,5,0,22,0,2015-09-14 06:51:54.806,0.0,0.47442366024138416,3043
38180,6,0,3,1,31,about_to_sleep,146773,6,15,0,30,0,2015-09-13 17:46:02.473,0.0,0.47442366024138416,3044
9119,7,0,3,1,31,about_to_sleep,407837,5,7,0,87,0,2015-09-12 12:34:22.979,0.0,0.47442366024138416,3045
173378,5,0,3,1,31,about_to_sleep,20249,3,1,0,48,0,2015-09-14 05:38:12.731,0.0,0.47442366024138416,3043
578711,6,0,3,2,32,about_to_sleep,191060,0,14,0,75,0,2015-09-12 16:58:01.557,0.0,0.47442366024138416,3045
743443,7,0,3,2,32,about_to_sleep,298283,0,18,0,16,0,2015-09-10 19:49:57.582,0.0,0.47442366024138416,3046
688576,5,0,3,2,32,about_to_sleep,391769,5,22,0,11,0,2015-09-12 22:37:03.539,0.0,0.47442366024138416,3044
35663,5,0,3,1,31,about_to_sleep,227867,1,15,0,69,0,2015-08-28 22:29:56.572,0.0,0.47442366024138416,3059
438641,7,0,3,2,32,about_to_sleep,277742,0,19,0,43,0,2015-09-12 19:03:45.929,0.0,0.47442366024138416,3044
578080,6,0,3,2,32,about_to_sleep,427224,0,23,0,6,0,2015-09-13 16:40:06.385,0.0,0.47442366024138416,3044
680475,6,0,3,2,32,about_to_sleep,322435,1,13,0,41,0,2015-09-13 22:26:46.255,0.0,0.47442366024138416,3043
365165,7,0,3,1,31,about_to_sleep,153625,0,2,0,223,0,2015-09-12 05:32:30.574,0.0,0.47442366024138416,3045
713943,6,0,3,2,32,about_to_sleep,110535,6,17,0,34,0,2015-09-13 20:10:55.504,0.0,0.47442366024138416,3043
180102,8,0,3,1,31,about_to_sleep,236987,6,18,0,11,0,2015-09-11 21:15:16.964,0.0,0.47442366024138416,3045
325629,5,0,3,1,31,about_to_sleep,157457,4,21,0,32,0,2015-09-14 16:15:46.596,0.0,0.47442366024138416,3043
375981,8,0,3,1,31,about_to_sleep,282416,2,3,0,122,0,2015-09-11 03:05:48.467,0.0,0.47442366024138416,3046
219131,8,0,3,1,31,about_to_sleep,65854,1,11,0,80,0,2015-09-11 16:09:19.254,0.0,0.47442366024138416,3046
347573,8,0,3,1,31,about_to_sleep,10325,1,19,0,47,0,2015-09-09 20:13:25.145,0.0,0.47442366024138416,3047
722293,5,0,3,2,32,about_to_sleep,103411,1,5,0,3,0,2015-09-08 05:38:34.636,0.0,0.47442366024138416,3049
508330,7,0,3,2,32,about_to_sleep,363923,6,17,0,30,0,2015-09-12 15:33:44.230,0.0,0.47442366024138416,3045
113200,7,0,3,1,31,about_to_sleep,159527,4,16,0,71,0,2015-09-12 20:11:03.211,0.0,0.47442366024138416,3044
264831,8,0,3,1,31,about_to_sleep,39286,0,0,0,10,0,2015-09-11 02:48:06.415,0.0,0.47442366024138416,3046
746668,8,0,3,2,32,about_to_sleep,163218,5,15,0,3,0,2015-08-29 15:03:16.821,0.0,0.47442366024138416,3059
502264,5,0,3,2,32,about_to_sleep,60664,2,4,0,9,0,2015-09-11 05:42:13.521,0.0,0.47442366024138416,3046
128769,7,0,3,1,31,about_to_sleep,219766,6,6,0,49,0,2015-09-12 02:23:25.382,0.0,0.47442366024138416,3045
13057,7,0,3,1,31,about_to_sleep,23688,5,20,0,15,0,2015-09-12 15:53:57.408,0.0,0.47442366024138416,3045
396966,6,0,3,2,32,about_to_sleep,46831,1,4,0,31,0,2015-07-25 23:25:37.419,0.0,0.47442366024138416,3093
142862,6,0,3,1,31,about_to_sleep,192227,5,2,0,182,0,2015-09-13 15:10:24.989,0.0,0.47442366024138416,3044
775263,7,0,3,2,32,about_to_sleep,135746,1,22,0,15,0,2015-09-12 20:56:57.794,0.0,0.47442366024138416,3044
784020,5,0,3,2,32,about_to_sleep,170935,4,11,0,16,0,2015-09-05 21:31:21.640,0.0,0.47442366024138416,3051
508209,7,0,3,2,32,about_to_sleep,60113,5,13,0,6,0,2015-09-12 13:47:58.963,0.0,0.47442366024138416,3045
521433,6,0,3,2,32,about_to_sleep,97039,1,0,0,62,0,2015-08-02 03:10:48.243,0.0,0.47442366024138416,3086
726868,6,0,3,2,32,about_to_sleep,247658,2,4,0,41,0,2015-09-13 08:34:35.314,0.0,0.47442366024138416,3044
780985,7,0,3,2,32,about_to_sleep,367881,5,17,0,1,0,2015-09-12 17:31:44.556,0.0,0.47442366024138416,3045
516063,7,0,3,2,32,about_to_sleep,143771,6,17,0,44,0,2015-09-12 22:41:42.119,0.0,0.47442366024138416,3044
24768,7,0,3,1,31,about_to_sleep,342236,6,6,0,33,0,2015-09-12 20:50:02.031,0.0,0.47442366024138416,3044
310647,7,0,3,1,31,about_to_sleep,197408,3,3,0,2,0,2015-08-25 22:51:14.775,0.0,0.47442366024138416,3062
480865,5,0,3,2,32,about_to_sleep,101150,4,17,0,2,0,2015-09-14 19:33:55.644,0.0,0.47442366024138416,3042
148546,7,0,3,1,31,about_to_sleep,10620,5,17,0,38,0,2015-09-12 17:20:10.485,0.0,0.47442366024138416,3045
281905,5,0,3,1,31,about_to_sleep,366732,5,3,0,261,0,2015-09-14 13:04:03.901,0.0,0.47442366024138416,3043
56860,5,0,3,1,31,about_to_sleep,409141,1,23,0,27,0,2015-09-14 23:08:32.096,0.0,0.47442366024138416,3042
405548,7,0,3,2,32,about_to_sleep,185690,1,17,0,25,0,2015-09-12 23:27:31.859,0.0,0.47442366024138416,3044
